"CID","LAC","MCC","MNC","Operator","CGI","Technology","Lon","Lat","SessionId","TestId","NetworkId","SystemName","ADevice","Time","PosId","FileId","BTSLon","BTSLat","BTSLonDiff","BTSLatDiff","BTSDist","BTS2LonDiff","BTS2LatDiff","BTS2Dist","BTS3LonDiff","BTS3LatDiff","BTS3Dist","BTSTech","FloorPlanName","FloorPlanLevel","SessionIdLP","TestIdLP","PosIdLP","NetworkIdLP","RSRP","NumMeasuredCells","ChnPCI"
"41046539","1603","510","9","Smartfren","41046539-9-510","LTE E-UTRA 40","105.21208","-4.97839","601295421441","0","601295421441","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:29:12.623","601295421441","140",,,"105.21208","-4.97839",,"105.21208","-4.97839",,"105.21208","-4.97839",,,,,,,,,"     -82.6","0","39050 27"
"15385603","21107","510","1","Indosat Ooredoo","15385603-1-510","LTE E-UTRA 3","0","0","605590388737","0","605590388737","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:19:19.952","605590388737","141",,,"0","0",,"0","0",,"0","0",,,,,,,,,"     -84.0","0","1625 33"
"41046541","1603","510","9","Smartfren","41046541-9-510","LTE E-UTRA 40","0","0","609885356033","0","609885356033","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:19:19.456","609885356033","142",,,"0","0",,"0","0",,"0","0",,,,,,,,,"    -103.9","0","39050 29"
"15385603","21107","510","1","Indosat Ooredoo","15385603-1-510","LTE E-UTRA 3","105.196685","-4.983407","622770257921","0","622770257921","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:10:16.242","622770257921","145",,,"105.196685","-4.983407",,"105.196685","-4.983407",,"105.196685","-4.983407",,,,,,,,,"    -103.9","1","1625 33"
"74362630","29005","510","11","XL","74362630-11-510","LTE E-UTRA 3","105.196685","-4.983407","627065225217","0","627065225217","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:10:17.131","627065225217","146",,,"105.196685","-4.983407",,"105.196685","-4.983407",,"105.196685","-4.983407",,,,,,,,,"    -100.0","0","1325 455"
"28442379","4100","510","10","Telkomsel","28442379-10-510","LTE E-UTRA 3","105.196685","-4.983407","631360192513","0","631360192513","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:10:15.723","631360192513","147",,,"105.196685","-4.983407",,"105.196685","-4.983407",,"105.196685","-4.983407",,,,,,,,,"    -102.5","0","1850 81"
"41046541","1603","510","9","Smartfren","41046541-9-510","LTE E-UTRA 40","105.196685","-4.983407","635655159809","0","635655159809","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:10:15.603","635655159809","148",,,"105.196685","-4.983407",,"105.196685","-4.983407",,"105.196685","-4.983407",,,,,,,,,"    -107.0","1","39050 29"
"74260486","29005","510","11","XL","74260486-11-510","LTE E-UTRA 3","105.195486","-4.987052","648540061697","0","648540061697","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:08:03.079","648540061697","151",,,"105.195486","-4.987052",,"105.195486","-4.987052",,"105.195486","-4.987052",,,,,,,,,"    -112.0","5","1325 134"
"29959712","4100","510","10","Telkomsel","29959712-10-510","LTE E-UTRA 8","105.195486","-4.987052","661424963585","0","661424963585","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:08:00.756","661424963585","154",,,"105.195486","-4.987052",,"105.195486","-4.987052",,"105.195486","-4.987052",,,,,,,,,"    -100.0","5","3500 287"
"29959702","4100","510","10","Telkomsel","29959702-10-510","LTE E-UTRA 8","105.197478","-4.983266","674309865473","0","674309865473","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:59:47.477","674309865473","157",,,"105.197478","-4.983266",,"105.197478","-4.983266",,"105.197478","-4.983266",,,,,,,,,"     -95.0","8","3500 286"
