SessionId,TestId,Serving Operator,Home Operator,Technology,CallingModule,ASideDevice,msgDate,msgTime,CollectionName,TestDescription,Zone,Throughput,ket,Host,Status,APN
322122547214,322122547207,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:11:44,ZONA17_LAMONGAN_DT,,NCM30100884,30100.8,GET,ftp://103.8.238.209,Successful,internet
322122547216,322122547208,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:12:12,ZONA17_LAMONGAN_DT,,NCM30100884,3798.928,PUT,ftp://103.102.153.214,Successful,internet
326417514510,326417514503,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:12:51,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,GET,ftp://103.8.238.209,Failed,internet
326417514512,326417514504,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:13:21,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,PUT,ftp://103.102.153.214,Failed,internet
433791696910,433791696903,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:53:17,ZONA17_LAMONGAN_DT,,NCM30100884,32858.36,GET,ftp://103.8.238.209,Successful,internet
433791696912,433791696904,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:53:43,ZONA17_LAMONGAN_DT,,NCM30100884,3879.52,PUT,ftp://103.102.153.214,Successful,internet
438086664206,438086664199,Fren/Hepi,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:52:29,ZONA17_LAMONGAN_DT,,NCM30100884,1115.952,GET,ftp://103.8.238.209,Failed,Smartfren4G
438086664208,438086664200,Fren/Hepi,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:53:30,ZONA17_LAMONGAN_DT,,NCM30100884,600.72,PUT,ftp://103.102.153.214,Failed,Smartfren4G
442381631502,442381631495,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:52:17,ZONA17_LAMONGAN_DT,,NCM30100884,19746.84,GET,ftp://103.8.238.209,Successful,internet
442381631504,442381631496,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:53:00,ZONA17_LAMONGAN_DT,,NCM30100884,10581.112,PUT,ftp://103.102.153.214,Successful,internet
446676598798,446676598791,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:52:00,ZONA17_LAMONGAN_DT,,NCM30100884,16083.808,GET,ftp://103.8.238.209,Successful,internet
446676598800,446676598792,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:52:52,ZONA17_LAMONGAN_DT,,NCM30100884,14606.848,PUT,ftp://103.102.153.214,Successful,internet
1447403978766,1447403978759,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:55:38,ZONA17_LAMONGAN_DT,,NCM30100884,23227.184,GET,ftp://103.8.238.209,Successful,internet
1447403978768,1447403978760,Indosat Ooredoo,Indosat Ooredoo,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:56:14,ZONA17_LAMONGAN_DT,,NCM30100884,14724.664,PUT,ftp://103.102.153.214,Successful,internet
1451698946062,1451698946055,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:55:40,ZONA17_LAMONGAN_DT,,NCM30100884,8813.424,GET,ftp://103.8.238.209,Failed,internet
1451698946064,1451698946056,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:56:40,ZONA17_LAMONGAN_DT,,NCM30100884,3655.736,PUT,ftp://103.102.153.214,Successful,internet
1455993913358,1455993913351,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:56:57,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,GET,ftp://103.8.238.209,Failed,internet
1455993913360,1455993913352,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:57:27,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,PUT,ftp://103.102.153.214,Failed,internet
1460288880654,1460288880647,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:56:24,ZONA17_LAMONGAN_DT,,NCM30100884,14365.416,GET,ftp://103.8.238.209,Successful,Smartfren4G
1460288880656,1460288880648,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:57:22,ZONA17_LAMONGAN_DT,,NCM30100884,1014.096,PUT,ftp://103.102.153.214,Successful,Smartfren4G
1584842932238,1584842932231,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:32:54,ZONA17_LAMONGAN_DT,,NCM30100884,30945.056,GET,ftp://103.8.238.209,Successful,internet
1584842932240,1584842932232,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:33:22,ZONA17_LAMONGAN_DT,,NCM30100884,3890.056,PUT,ftp://103.102.153.214,Successful,internet
1589137899534,1589137899527,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:32:54,ZONA17_LAMONGAN_DT,,NCM30100884,28511.704,GET,ftp://103.8.238.209,Successful,internet
